x,y,z
-0.07253876104950904,0.005303610488772393,1.0536169409751892
-0.08334912955760956,-0.04217547588050365,1.0382679224014282
-0.10491975769400597,-0.11356800720095635,1.0346083521842957
-0.12744229659438133,-0.1621195927262306,1.0348949313163758
-0.15998054593801497,-0.21735157817602158,1.0455925345420838
-0.19570289850234984,-0.27761322557926177,1.0591793417930604
-0.23699354976415635,-0.33405515253543855,1.0681193590164184
-0.29083845019340515,-0.3878369778394699,1.081753432750702
-0.3588357478380203,-0.43182345032691954,1.0962987899780274
-0.4399951219558716,-0.45506387054920194,1.1066433548927308
-0.531869375705719,-0.4506099700927734,1.1173883557319642
-0.6237951219081879,-0.4159162610769272,1.1242189764976502
-0.7040345847606659,-0.3578600615262985,1.1283451795578003
-0.7567265331745148,-0.2923357903957367,1.1300747394561768
-0.793598073720932,-0.2120657742023468,1.1313586592674256
-0.8082617163658142,-0.12578244283795356,1.1289619565010072
-0.7997656643390656,-0.04340622704476118,1.1228888750076294
-0.7760026335716248,0.029516689106822015,1.1107049703598022
-0.7423561811447144,0.09926412850618363,1.1022630333900452
-0.7080823242664337,0.16163029968738557,1.094328510761261
-0.6732778131961823,0.21338036507368088,1.0833829760551452
-0.5967817604541779,0.2615200877189636,1.0738220691680909
-0.5443667411804199,0.24938849955797196,1.064979040622711
-0.47837062180042267,0.21750830858945847,1.059268069267273
-0.41462486088275907,0.1841550052165985,1.055118441581726
-0.350660502910614,0.1554621711373329,1.0523244619369507
-0.29070988595485686,0.12992802932858466,1.045895230770111
-0.2145203694701195,0.09449623301625251,1.0363170504570007
-0.1528644308447838,0.05944091230630875,1.0329966306686402
-0.09585056975483894,0.016913684085011482,1.0330512046813964
-0.042847569286823275,-0.03363590948283672,1.0348542213439942
0.008097632694989443,-0.08933327570557595,1.0351530075073243
0.05431731231510639,-0.15042603760957718,1.0337033867835999
0.10109847486019134,-0.22156405299901963,1.033758521080017
0.14773750454187393,-0.29750317633152007,1.0401474833488464
0.19998884499073027,-0.3733104944229126,1.0528926134109498
0.2586404085159302,-0.44433716833591463,1.070512068271637
0.3288410633802414,-0.5004066944122314,1.0837656378746032
0.40509997606277465,-0.5344714760780335,1.0926563024520874
0.5013791561126709,-0.5389950156211853,1.103816318511963
0.591934722661972,-0.5121999323368073,1.1166892766952514
0.6768038094043731,-0.4544998109340668,1.1359939098358154
0.7431799530982971,-0.3691842645406723,1.1509777426719665
0.7902601897716522,-0.26006714850664137,1.1537986278533936
0.8110312759876251,-0.14646398052573203,1.1458642125129699
0.8163957178592682,-0.027259363047778606,1.133282470703125
0.8051520764827729,0.09179271757602692,1.118527603149414
0.7827751755714416,0.1969170644879341,1.1112682938575744
0.7470310747623443,0.2953688591718674,1.1050626397132874
0.7015932977199555,0.36877035796642305,1.101427161693573
0.64688760638237,0.4237374633550644,1.10226149559021
0.5854090392589569,0.4592820376157761,1.103797709941864
0.5187274098396302,0.4765272796154022,1.0945076942443848
0.4521089822053909,0.47033618986606596,1.071110236644745
0.38117251694202425,0.44770424365997313,1.0490371227264403
0.3013185143470764,0.4166864603757858,1.0245103240013123
0.22279815822839738,0.38470959961414336,1.0012820780277252
0.1549590066075325,0.34303502142429354,0.9813608765602112
0.10542409643530845,0.2921786218881607,0.985691511631012
0.07244282364845275,0.23062482178211213,1.0004206359386445
0.04578593298792839,0.16385210752487184,1.019351840019226
0.027115424536168574,0.10515067428350448,1.0311872720718385
0.010204696003347636,0.05259786583483219,1.0326347708702088
-0.01566205993294716,0.004498950392007828,1.0215516090393066
-0.059302233159542084,-0.06139210686087608,1.0040686011314393
-0.09462202712893486,-0.10129358693957329,1.0046997547149659
