timestamp,x,y,z,target_x,target_y,target_z,roll,pitch,yaw,controller
0.0005824565887451172,-0.009791279211640358,0.007378283888101578,0.013565702363848686,0,0,0.8,0.17014969885349274,-0.3246654272079468,-0.021931050345301628,4
0.10104084014892578,-0.009633973240852356,0.007114972919225693,0.014748807065188885,0,0,0.8,0.3828689157962799,0.5874626636505127,-0.1059984639286995,4
0.20154356956481934,-0.013394642621278763,0.004519397392868996,0.0373777337372303,0,0,0.8,4.277901649475098,9.833669662475586,-0.29148533940315247,4
0.3022582530975342,-0.03439585864543915,-0.006314202677458525,0.09002399444580078,0,0,0.8,2.4127936363220215,11.875575065612793,-0.303611695766449,4
0.40322232246398926,-0.07245336472988129,-0.021500980481505394,0.16734573245048523,0,0,0.8,-1.2070943117141724,0.7019250988960266,-0.2856771945953369,4
0.5038449764251709,-0.11454588174819946,-0.035549797117710114,0.26459744572639465,0,0,0.8,-2.6415324211120605,-3.454530954360962,-0.3307124972343445,4
0.6043946743011475,-0.14900273084640503,-0.04418473690748215,0.3657952547073364,0,0,0.8,-4.2194504737854,-9.61462116241455,-0.7658864855766296,4
0.7052416801452637,-0.1695033758878708,-0.04562470689415932,0.467254638671875,0,0,0.8,-4.560113430023193,-12.449529647827148,-0.9949460029602051,4
0.8057076930999756,-0.17015217244625092,-0.039652422070503235,0.5446401238441467,0,0,0.8,-3.958639621734619,-11.528565406799316,-0.888985812664032,4
0.9065306186676025,-0.15563461184501648,-0.029091130942106247,0.5976054072380066,0,0,0.8,-2.1779956817626953,-9.41818904876709,-0.7459121942520142,4
1.007291555404663,-0.12734830379486084,-0.014394152909517288,0.6425172090530396,0,0,0.8,-0.12795138359069824,-3.570544719696045,-0.42776235938072205,4
