timestamp,x,y,z
0.0005824565887451172,-0.009663457050919533,0.00724879652261734,0.013611175119876862
0.10104084014892578,-0.009997541084885597,0.006803191266953945,0.017330147325992584
0.20154356956481934,-0.01601201295852661,0.0023295008577406406,0.04709296673536301
0.3022582530975342,-0.041923653334379196,-0.01033959910273552,0.10888920724391937
0.40322232246398926,-0.08354424685239792,-0.026083266362547874,0.1959323137998581
0.5038449764251709,-0.12469416856765747,-0.03864642605185509,0.29576510190963745
0.6043946743011475,-0.15530064702033997,-0.04493710398674011,0.39571046829223633
0.7052416801452637,-0.16997145116329193,-0.04422203451395035,0.4849037826061249
0.8057076930999756,-0.16687288880348206,-0.036870263516902924,0.5577285289764404
0.9065306186676025,-0.14915141463279724,-0.02498854696750641,0.6118840575218201
1.007291555404663,-0.12083720415830612,-0.011139524169266224,0.6515704393386841
