x,y,z,yaw
1.0,0.0,0.8,93.67346938775509
0.9917900138232462,0.127877161684506,0.8,101.02040816326533
0.9672948630390295,0.25365458390950735,0.8,108.36734693877554
0.9269167573460217,0.3752670048793741,0.8,115.7142857142857
0.8713187041233894,0.49071755200393785,0.8,123.06122448979593
0.8014136218679567,0.5981105304912159,0.8,130.40816326530611
0.7183493500977276,0.6956825506034864,0.8,137.75510204081633
0.6234898018587336,0.7818314824680298,0.8,145.10204081632654
0.5183925683105252,0.8551427630053461,0.8,152.44897959183675
0.404783343122394,0.9144126230158124,0.8,159.79591836734693
0.28452758663103267,0.9586678530366606,0.8,167.14285714285717
0.15959989503337932,0.9871817834144501,0.8,174.48979591836732
0.03205157757165533,0.9994862162006879,0.8,-178.16326530612247
-0.09602302590768154,0.9953791129491982,0.8,-170.81632653061226
-0.22252093395631434,0.9749279121818236,0.8,-163.46938775510205
-0.3453650544213075,0.9384684220497604,0.8,-156.12244897959184
-0.4625382902408351,0.8865993063730001,0.8,-148.7755102040817
-0.5721166601221694,0.8201722545969561,0.8,-141.42857142857142
-0.6723008902613166,0.7402779970753157,0.8,-134.0816326530613
-0.7614459583691342,0.6482283953077888,0.8,-126.73469387755102
-0.8380881048918404,0.545534901210549,0.8,-119.38775510204083
-0.900968867902419,0.43388373911755823,0.8,-112.04081632653065
-0.9490557470106686,0.3151082180236209,0.8,-104.69387755102042
-0.9815591569910653,0.19115862870137254,0.8,-97.34693877551022
-0.9979453927503363,0.06407021998071323,0.8,-90.0
-0.9979453927503363,-0.06407021998071255,0.8,-82.65306122448983
-0.9815591569910654,-0.19115862870137187,0.8,-75.30612244897964
-0.9490557470106689,-0.3151082180236202,0.8,-67.95918367346938
-0.9009688679024191,-0.433883739117558,0.8,-60.61224489795922
-0.8380881048918408,-0.5455349012105485,0.8,-53.26530612244899
-0.7614459583691346,-0.6482283953077882,0.8,-45.91836734693876
-0.672300890261317,-0.7402779970753153,0.8,-38.57142857142862
-0.57211666012217,-0.8201722545969556,0.8,-31.224489795918366
-0.4625382902408353,-0.886599306373,0.8,-23.877551020408205
-0.34536505442130816,-0.9384684220497602,0.8,-16.530612244898
-0.2225209339563146,-0.9749279121818236,0.8,-9.183673469387747
-0.09602302590768244,-0.9953791129491981,0.8,-1.8367346938775955
0.03205157757165486,-0.9994862162006879,0.8,5.510204081632619
0.1595998950333784,-0.9871817834144503,0.8,12.85714285714281
0.284527586631032,-0.9586678530366608,0.8,20.204081632653057
0.40478334312239295,-0.9144126230158128,0.8,27.551020408163236
0.5183925683105245,-0.8551427630053464,0.8,34.89795918367343
0.6234898018587334,-0.7818314824680299,0.8,42.244897959183646
0.718349350097727,-0.6956825506034869,0.8,49.591836734693835
0.8014136218679565,-0.5981105304912162,0.8,56.938775510204046
0.871318704123389,-0.49071755200393863,0.8,64.28571428571423
0.9269167573460216,-0.3752670048793746,0.8,71.6326530612245
0.9672948630390291,-0.25365458390950835,0.8,78.97959183673463
0.991790013823246,-0.12787716168450664,0.8,86.32653061224488
1.0,-2.4492935982947064e-16,0.8,86.32653061224488
