x,y,z
0.0,0.0,1.0
0.0634239196565645,0.12659245357374926,1.0
0.12659245357374926,0.2511479871810792,1.0
0.18925124436041021,0.3716624556603275,1.0
0.2511479871810792,0.4861967361004687,1.0
0.3120334456984871,0.5929079290546405,1.0
0.3716624556603276,0.690079011482112,1.0
0.42979491208917164,0.7761464642917568,1.0
0.4861967361004687,0.8497254299495144,1.0
0.5406408174555976,0.9096319953545183,1.0
0.5929079290546404,0.9549022414440739,1.0
0.6427876096865393,0.9848077530122079,1.0
0.690079011482112,0.998867339183008,1.0
0.7345917086575333,0.9968547759519424,1.0
0.7761464642917568,0.9788024462147787,1.0
0.8145759520503357,0.9450008187146685,1.0
0.8497254299495144,0.8959937742913358,1.0
0.8814533634475821,0.8325698546347714,1.0
0.9096319953545183,0.7557495743542583,1.0
0.9341478602651067,0.6667690005162916,1.0
0.9549022414440739,0.5670598638627709,1.0
0.9718115683235417,0.45822652172741046,1.0
0.984807753012208,0.3420201433256688,1.0
0.9938384644612541,0.2203105327865408,1.0
0.998867339183008,0.09505604330418244,1.0
0.9998741276738751,-0.03172793349806786,1.0
0.9968547759519424,-0.15800139597335008,1.0
0.9898214418809327,-0.28173255684142984,1.0
0.9788024462147787,-0.40093053540661383,1.0
0.963842158559942,-0.5136773915734064,1.0
0.9450008187146685,-0.6181589862206053,1.0
0.9223542941045814,-0.7126941713788629,1.0
0.8959937742913359,-0.7957618405308321,1.0
0.8660254037844385,-0.8660254037844388,1.0
0.8325698546347714,-0.9223542941045814,1.0
0.795761840530832,-0.9638421585599422,1.0
0.7557495743542583,-0.9898214418809326,1.0
0.7126941713788627,-0.999874127673875,1.0
0.6667690005162917,-0.9938384644612542,1.0
0.6181589862206051,-0.9718115683235414,1.0
0.5670598638627709,-0.9341478602651069,1.0
0.5136773915734063,-0.881453363447582,1.0
0.4582265217274105,-0.8145759520503358,1.0
0.4009305354066136,-0.7345917086575331,1.0
0.3420201433256689,-0.6427876096865396,1.0
0.28173255684142967,-0.5406408174555976,1.0
0.2203105327865408,-0.429794912089172,1.0
0.1580013959733499,-0.31203344569848707,1.0
0.09505604330418244,-0.18925124436040974,1.0
0.031727933498067656,-0.06342391965656452,1.0
-0.03172793349806786,0.06342391965656492,1.0
-0.09505604330418263,0.18925124436041013,1.0
-0.15800139597335008,0.31203344569848745,1.0
-0.22031053278654056,0.4297949120891715,1.0
-0.28173255684142984,0.5406408174555979,1.0
-0.34202014332566866,0.6427876096865393,1.0
-0.4009305354066138,0.7345917086575334,1.0
-0.4582265217274103,0.8145759520503355,1.0
-0.5136773915734064,0.8814533634475821,1.0
-0.5670598638627706,0.9341478602651065,1.0
-0.6181589862206053,0.9718115683235417,1.0
-0.6667690005162915,0.9938384644612541,1.0
-0.7126941713788629,0.9998741276738751,1.0
-0.7557495743542582,0.9898214418809328,1.0
-0.7957618405308321,0.9638421585599419,1.0
-0.8325698546347713,0.9223542941045817,1.0
-0.8660254037844388,0.8660254037844382,1.0
-0.895993774291336,0.7957618405308319,1.0
-0.9223542941045814,0.7126941713788629,1.0
-0.9450008187146683,0.6181589862206056,1.0
-0.9638421585599422,0.5136773915734058,1.0
-0.9788024462147787,0.40093053540661344,1.0
-0.9898214418809327,0.28173255684142984,1.0
-0.9968547759519423,0.15800139597335056,1.0
-0.9998741276738751,0.03172793349806702,1.0
-0.998867339183008,-0.09505604330418284,1.0
-0.9938384644612541,-0.22031053278654034,1.0
-0.9848077530122081,-0.342020143325668,1.0
-0.9718115683235417,-0.45822652172741085,1.0
-0.9549022414440739,-0.5670598638627709,1.0
-0.9341478602651068,-0.6667690005162913,1.0
-0.9096319953545182,-0.7557495743542589,1.0
-0.881453363447582,-0.8325698546347716,1.0
-0.8497254299495144,-0.8959937742913358,1.0
-0.8145759520503358,-0.9450008187146682,1.0
-0.7761464642917566,-0.978802446214779,1.0
-0.7345917086575332,-0.9968547759519424,1.0
-0.690079011482112,-0.998867339183008,1.0
-0.6427876096865396,-0.9848077530122081,1.0
-0.5929079290546402,-0.9549022414440737,1.0
-0.5406408174555974,-0.9096319953545182,1.0
-0.4861967361004688,-0.8497254299495146,1.0
-0.4297949120891719,-0.7761464642917573,1.0
-0.37166245566032724,-0.6900790114821115,1.0
-0.31203344569848707,-0.5929079290546404,1.0
-0.2511479871810794,-0.48619673610046904,1.0
-0.18925124436040974,-0.3716624556603267,1.0
-0.12659245357374904,-0.2511479871810788,1.0
-0.06342391965656452,-0.1265924535737493,1.0
-2.4492935982947064e-16,-4.898587196589413e-16,1.0
