timestamp,x,y,z
0.0003914833068847656,0.004922778811305761,-0.012066105380654335,0.013946513645350933
0.10072898864746094,0.005359489005059004,-0.011710453778505325,0.014370767399668694
0.20117878913879395,0.003711893456056714,-0.010601554997265339,0.029528655111789703
0.30159974098205566,-0.006854240316897631,-0.005800589919090271,0.07828134298324585
0.4036142826080322,-0.022981802001595497,0.001897155772894621,0.16395798325538635
0.5040645599365234,-0.03468368202447891,0.008626269176602364,0.2623024582862854
0.6044385433197021,-0.04093532636761665,0.013470381498336792,0.36852020025253296
0.7049226760864258,-0.04154340922832489,0.014801318757236004,0.46906012296676636
0.8053925037384033,-0.03777923434972763,0.012864859774708748,0.557975709438324
0.9059150218963623,-0.03072594851255417,0.00923880748450756,0.6314743161201477
